# Written by tools/mid_to_song.py. One strike per line: tick volume midi.
# Source: only my railgun (Full ver.).mid
# 4445 strikes over 4903 ticks, at most 6 a tick.
length 4903
1699 0.84 46
1699 0.86 70
1699 0.86 82
1701 0.78 42
1703 0.90 46
1703 0.90 51
1703 0.88 71
1703 0.88 83
1708 0.74 27
1708 0.74 39
1708 0.89 73
1708 0.89 85
1712 0.74 25
1712 0.74 37
1712 0.77 68
1712 0.77 73
1712 0.77 76
1712 0.77 80
1716 0.75 37
1718 0.79 40
1720 0.85 44
1720 0.78 80
1722 0.79 40
1722 0.73 76
1724 0.90 44
1724 0.90 49
1724 0.72 75
1727 0.72 73
1729 0.74 37
1729 0.84 68
1729 0.84 73
1729 0.84 80
1731 0.78 40
1733 0.84 44
1733 0.88 70
1733 0.88 82
1735 0.79 40
1737 0.90 44
1737 0.90 49
1737 0.88 71
1737 0.88 83
1741 0.90 49
1741 0.90 73
1741 0.90 85
1743 0.74 37
1745 0.75 27
1745 0.75 39
1745 0.83 70
1745 0.83 75
1745 0.83 78
1745 0.83 82
1748 0.73 34
1750 0.77 39
1752 0.82 42
1754 0.90 46
1754 0.90 51
1754 0.75 66
1754 0.75 70
1754 0.75 75
1754 0.75 78
1758 0.90 51
1758 0.90 54
1762 0.74 27
1762 0.74 39
1762 0.74 63
1762 0.74 66
1762 0.74 70
1762 0.74 75
